word,score
ruim,-5
longo,-5
desfavorável,-5
chato,-5
terrível,-5
chato,-5
difícil,-5
pesado,-5
paciente,-5
zangado,-5
perigoso,-5
frio,-5
difícil,-5
repugnante,-5
não é fácil,-5
não é bom,-5
complexo,-5
ilegal,-5
pobre,-5
difícil,-5
solitário,-5
cruel,-5
triste,-5
horrível,-5
paciente,-5
afiada,-5
forçado,-5
negativo,-5
terrível,-5
insano,-5
desagradável,-5
falecido,-5
morto,-5
estúpido,-5
culpado,-5
prejudicial,-5
errado,-5
patético,-5
vulgar,-5
estúpido,-5
infeliz,-5
triste,-5
cansado,-5
passivo,-5
não está claro,-5
nervoso,-5
sujo,-5
áspero,-5
escandaloso,-5
vergonhoso,-5
vergonhoso,-5
desnecessário,-5
culpado,-5
negativo,-5
triste,-5
indiferente,-5
criminoso,-5
cego,-5
assustador,-5
insatisfeito,-5
protesto,-5
fechar,-5
infeliz,-5
falso,-5
desagradável,-5
criminoso,-5
ruim,-5
agressivo,-5
solitário,-5
frio,-5
negrito,-5
quebrado,-5
sombrio,-5
ofensivo,-5
inútil,-5
é incompreensível,-5
trágico,-5
insolente,-5
ridículo,-5
preguiçoso,-5
mendigo,-5
desarmonioso,-5
comumente,-5
irritante,-5
pecador,-5
mentindo,-5
ofensivo,-5
falso,-5
ilegal,-5
quebrado,-5
incorreto,-5
perigoso,-5
infernal,-5
monstruoso,-5
insidioso,-5
é triste,-5
duvidoso,-5
desconfortável,-5
não é barato,-5
condenado,-5
errônea,-5
sem graça,-5
perturbador,-5
amaldiçoado,-5
hostil,-5
terrorista,-5
cínico,-5
compulsório,-5
injusto,-5
doloroso,-5
egoísta,-5
barulhento,-5
problema,-5
indiferente,-5
fascista,-5
insuportável,-5
vaidoso,-5
dependente,-5
corrupção,-5
suspeito,-5
instável,-5
estúpido,-5
implacável,-5
imprevisível,-5
extremista,-5
imprudente,-5
não é bom,-5
prejudicial,-5
desonesto,-5
oprimido,-5
mentindo,-5
excruciante,-5
vergonhoso,-5
destrutivo,-5
vendas,-5
ganancioso,-5
queimado,-5
catastrófico,-5
inadequada,-5
quer dizer,-5
conflito,-5
irresponsável,-5
vil,-5
rancoroso,-5
sem esperança,-5
impotente,-5
de perto,-5
miserável,-5
nazista,-5
indecente,-5
venenoso,-5
falha,-5
feio,-5
vaidoso,-5
desagradável,-5
desajeitado,-5
ineficiente,-5
vago,-5
ofendido,-5
exausto,-5
indigno,-5
feio,-5
primitivo,-5
ladrão,-5
absurdo,-5
idiota,-5
indesejável,-5
violento,-5
depressivo,-5
dissidente,-5
obsceno,-5
inválido,-5
desagradável,-5
falso,-5
rábano,-5
inútil,-5
retardado,-5
malicioso,-5
insalubre,-5
insatisfeito,-5
arrogante,-5
erupção cutânea,-5
desinteressante,-5
impune,-5
feio,-5
nublado,-5
gangster,-5
indefeso,-5
insignificante,-5
incapaz,-5
ofensivo,-5
morto,-5
sinistro,-5
empoeirado,-5
mafia,-5
desconfortável,-5
nacionalista,-5
nublado,-5
inquieto,-5
medíocre,-5
crise,-5
covarde,-5
não está claro,-5
desleixado,-5
feroz,-5
vicioso,-5
irrealizável,-5
bêbado,-5
inaceitável,-5
lento,-5
sombrio,-5
confuso,-5
desamparado,-5
rotina,-5
problemático,-5
autoritário,-5
choque,-5
inimigo,-5
pontapé-livre,-5
podre,-5
miserável,-5
espinhoso,-5
inapropriado,-5
imundo,-5
abaixo do padrão,-5
ilegal,-5
sem sucesso,-5
imundo,-5
diabo,-5
instável,-5
caprichosa,-5
errado,-5
irritante,-5
anormal,-5
não verificado,-5
leve-mente,-5
escorregadio,-5
quer dizer,-5
infecciosa,-5
irritável,-5
zangado,-5
atacante,-5
imoral,-5
não-normativo,-5
abafado,-5
odiado,-5
não amado,-5
anti-pessoas,-5
desajeitado,-5
horripilante,-5
fedorento,-5
pânico,-5
vil,-5
estressante,-5
incurável,-5
dolorido,-5
tedioso,-5
incorreto,-5
incompatível,-5
cansado,-5
infeliz,-5
bárbaro,-5
luto,-5
sem escrúpulos,-5
humilhante,-5
inválido,-5
pesadelo,-5
hacker,-5
pernicioso,-5
obsceno,-5
excruciante,-5
repressivo,-5
estúpido,-5
desagradável,-5
soturno,-5
desumano,-5
sem esperança,-5
gravemente doente,-5
terminado,-5
indecente,-5
punitivo,-5
analfabeto,-5
vaidoso,-5
zangado,-5
não lucrativo,-5
distorcido,-5
disperso,-5
escasso,-5
nublado,-5
delírio,-5
delirante,-5
porra,-5
triste,-5
porra,-5
monótono,-5
feroz,-5
sem pensamentos,-5
irracional,-5
fictício,-5
enfadonho,-5
lamentável,-5
sem alma,-5
não autorizado,-5
trágico,-5
fraudulento,-5
ocioso,-5
explosivo,-5
chorando,-5
antissocial,-5
porra,-5
maligno,-5
exagero,-5
feio,-5
impaciente,-5
desleixado,-5
pródigo,-5
indelicado,-5
mortal,-5
galgo,-5
intrusivo,-5
pecador,-5
debilidade,-5
descontrolado,-5
impróprio,-5
destrutivo,-5
destrutivo,-5
bajulador,-5
não profissional,-5
dramático,-5
hitler,-5
ingrato,-5
hipócrita,-5
sem escrúpulos,-5
sanguinário,-5
imperdoável,-5
desapontante,-5
caído,-5
vulgar,-5
mercenário,-5
infecciosa,-5
repugnante,-5
analfabeto,-5
insolúvel,-5
grosseiro,-5
delirante,-5
cansativo,-5
longanimidade,-5
desfavorável,-5
perturbador,-5
incompreensível,-5
obsceno,-5
pródigo,-5
ilegal,-5
qualquer um,-5
inepto,-5
debilitante,-5
galgo,-5
vergonhoso,-5
invejoso,-5
inútil,-5
doentio,-5
repugnante,-5
péssimo,-5
rebelde,-5
imoral,-5
zangado,-5
obstinado,-5
anti-russo,-5
retorcido,-5
viciado,-5
intolerante,-5
satânico,-5
ganancioso,-5
maníaco,-5
fastidioso,-5
manequim,-5
desconfortável,-5
não lucrativo,-5
irracional,-5
feroz,-5
defeituoso,-5
inutilizável,-5
ultrajante,-5
o próximo,-5
assalto,-5
imprudente,-5
ignorante,-5
espinhoso,-5
homofóbico,-5
pouco promissor,-5
defeituoso,-5
injusto,-5
desobediente,-5
inconclusivo,-5
blasfemo,-5
insano,-5
não lavado,-5
descontrolado,-5
difícil de alcançar,-5
medíocre,-5
traiçoeiro,-5
mendigo,-5
negligente,-5
sem direitos,-5
malicioso,-5
cópia,-5
incrédulo,-5
perseguido,-5
depravado,-5
militante,-5
insignificante,-5
histérica,-5
não gostoso,-5
infantil,-5
não confiável,-5
inglório,-5
histérica,-5
deplorável,-5
irrealizável,-5
desdenhoso,-5
podre,-5
pornográfico,-5
desatento,-5
racista,-5
rebelde,-5
falhou,-5
filho da puta,-5
desprotegido,-5
sem cérebro,-5
ferido,-5
arrepiante,-5
irritante,-5
doloroso,-5
louco,-5
altivo,-5
enfadonho,-5
de curta duração,-5
roubado,-5
imodesto,-5
incompetente,-5
tímido,-5
vingativo,-5
mercantil,-5
infeliz,-5
desconfortável,-5
inanimado,-5
duro,-5
impreciso,-5
não lucrativo,-5
tedioso,-5
memorial,-5
pessimista,-5
imparcial,-5
ladrão,-5
desdenhoso,-5
confuso,-5
sem coração,-5
fraudulento,-5
falador,-5
inapto,-5
ruim,-5
imperdoável,-5
mudo,-5
atrevido,-5
pungente,-5
parasita,-5
sem sucesso,-5
estúpido,-5
lascivo,-5
intimidado,-5
insuportável,-5
sacanagem,-5
demoníaco,-5
sombrio,-5
desconfortável,-5
subdesenvolvido,-5
amuado,-5
nada invejável,-5
desastroso,-5
de língua amarrada,-5
estagnado,-5
inapto,-5
insensível,-5
sem cerimônias,-5
desagradável,-5
alienígena,-5
maltratado,-5
pró-putin,-5
esquizofrênico,-5
duro,-5
desinteressante,-5
malfadado,-5
degenerativo,-5
sem vergonha,-5
débil mental,-5
desprezível,-5
pretensioso,-5
andando,-5
desonesto,-5
rebanho,-5
gritando,-5
calunioso,-5
condenado,-5
desrespeitoso,-5
vergonhoso,-5
feio,-5
abusivo,-5
lascivo,-5
de queijo,-5
exultante,-5
de queijo,-5
indelicado,-5
safada,-5
estabelecendo,-5
repugnante,-5
sem esperança,-5
inimigos,-5
desumano,-5
oneroso,-5
vilão,-5
suicídio,-5
vingativo,-5
bilioso,-5
imundo,-5
despótico,-5
malicioso,-5
hostil,-5
desagradável,-5
desarrumado,-5
fascinante,-5
criminogênico,-5
nauseante,-5
arrogante,-5
malicioso,-5
covarde,-5
pomposo,-5
inútil,-5
descuidado,-5
presunçoso,-5
açucarado,-5
patogênico,-5
decadente,-5
obsceno,-5
atrofiado,-5
desonesto,-5
porra,-5
abatido,-5
hostil,-5
bastardo,-5
depreciativo,-5
fodido,-5
patético,-5
agressivo,-5
preparado,-5
arrogante,-5
dissoluto,-5
familiar,-5
desleixadamente,-5
não convidado,-5
sem tato,-5
anti-social,-5
perdendo,-5
sujo,-5
bobo,-5
atrevido,-5
gostoso,-5
intolerante,-5
anti-humano,-5
blasfemo,-5
vadia,-5
indecoroso,-5
praga,-5
ranzinza,-5
suspeito,-5
hostil,-5
lindo,-5
fanático,-5
vistoso,-5
fratricida,-5
obscurantista,-5
misantrópico,-5
tolo,-5
brutal,-5
espertinho,-5
careca,-5
lisonjeiro,-5
sem vergonha,-5
desordenado,-5
moralizante,-5
enfadonho,-5
sem cultura,-5
desumano,-5
morrendo,-5
arrogante,-5
especial,-5
lascado,-5
estridente,-5
agressivo,-5
imbecil,-5
frígido,-5
rústico,-5
serpentina,-5
impudente,-5
vômito,-5
grosso,-5
abominável,-5
pederastico,-5
combativo,-5
psicótico,-5
bêbado,-5
polido,-5
horrível,-5
merda,-5
ruinoso,-5
malandro,-5
plebeia,-5
louco,-5
de corpo mole,-5
sem espinhos,-5
agressivo,-5
fascista,-5
de olhos arregalados,-5
chato,-5
escola,-5
site pornô,-5
esquerda,-3.3
velho,-3.3
complexo,-3.3
com fome,-3.3
mudo,-3.3
impossível,-3.3
criminoso,-3.3
menos,-3.3
desconhecido,-3.3
impossível,-3.3
fino,-3.3
selvagem,-3.3
extra,-3.3
afiada,-3.3
escuro,-3.3
estrito,-3.3
cru,-3.3
grosso,-3.3
armado,-3.3
severo,-3.3
sem casa,-3.3
formidável,-3.3
mortal,-3.3
próximo,-3.3
mental,-3.3
sangrento,-3.3
crítico,-3.3
pesado,-3.3
sem sentido,-3.3
doentio,-3.3
insuficiente,-3.3
ferido,-3.3
viral,-3.3
surdo,-3.3
cego,-3.3
cabra,-3.3
perdido,-3.3
prisão,-3.3
insano,-3.3
fatal,-3.3
surdo,-3.3
arriscado,-3.3
ditatorial,-3.3
amaldiçoado,-3.3
sem princípios,-3.3
impenetrável,-3.3
inativo,-3.3
trivial,-3.3
insolvente,-3.3
deprimente,-3.3
errado,-3.3
complicado,-3.3
caótico,-3.3
impraticável,-3.3
fraco de vontade,-3.3
malfadado,-3.3
merda,-3.3
nozes,-3.3
sem casa,-3.3
pérfido,-3.3
úmido,-3.3
azarado,-3.3
funerário,-3.3
desequilibrado,-3.3
antinatural,-3.3
déficit,-3.3
desajeitado,-3.3
não realizado,-3.3
sepultura,-3.3
indiferente,-3.3
sem dentes,-3.3
demoníaco,-3.3
notório,-3.3
suado,-3.3
ostensivo,-3.3
despreparado,-3.3
mordendo,-3.3
besteira,-3.3
vampiro,-3.3
assustador,-3.3
não é real,-3.3
desenfreada,-3.3
linha quebrada,-3.3
imprestável,-3.3
imaturo,-3.3
predatório,-3.3
imprudente,-3.3
comovente,-3.3
auto-satisfeito,-3.3
fodido,-3.3
sem espírito,-3.3
vadia,-3.3
discriminatório,-3.3
opressivo,-3.3
não reclamado,-3.3
paranóico,-3.3
falso,-3.3
anti-estado,-3.3
lento,-3.3
bêbado,-3.3
anti-cristão,-3.3
suicida,-3.3
não convincente,-3.3
verde,-3.3
sacanagem,-3.3
sádico,-3.3
sem lei,-3.3
azarado,-3.3
sem vergonha,-3.3
impróprio,-3.3
draconiano,-3.3
inapto,-3.3
implausível,-3.3
exigente,-3.3
servidão,-3.3
torto,-3.3
sem corte,-3.3
pecaminoso,-3.3
não amigável,-3.3
sedicioso,-3.3
assustador,-3.3
porra,-3.3
curvado,-3.3
baba,-3.3
intolerável,-3.3
inflamado,-3.3
antiético,-3.3
desconsolado,-3.3
desajeitado,-3.3
nocivo,-3.3
chato,-3.3
abstruso,-3.3
insincero,-3.3
pedófilo,-3.3
pobre,-3.3
narcisista,-3.3
fatal,-3.3
feio,-3.3
caro,-3.3
pessimista,-3.3
cariado,-3.3
bastante difícil,-3.3
incompetente,-3.3
cadavérico,-3.3
diabólico,-3.3
andando,-3.3
incompreendido,-3.3
irracional,-3.3
egocêntrico,-3.3
desaprovando,-3.3
antediluviano,-3.3
não faz jus,-3.3
cemitério,-3.3
imerecido,-3.3
não forte,-3.3
com defeito,-3.3
neo-nazista,-3.3
tolo,-3.3
molhado,-3.3
tímido,-3.3
frívola,-3.3
